round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,hidden_activations,loss,optimizer,units
200,0.005086868070065975,0.5874800086021423,0.01087466161698103,0.20190000534057617,softmax,1000,relu,mse,adam,120
200,0.003074672305956483,0.7674800157546997,0.011760862544178963,0.20250000059604645,softmax,1000,relu,mse,adam,240
200,0.00990248005837202,0.009479999542236328,0.009902547113597393,0.00930000003427267,softmax,1000,relu,mse,adagrad,120
200,0.009902497753500938,0.00839999970048666,0.00990215502679348,0.009999999776482582,softmax,1000,relu,mse,adagrad,240
200,1.2708418369293213,0.6492400169372559,6.427011013031006,0.19660000503063202,softmax,1000,relu,categorical_crossentropy,adam,120
200,0.4913747012615204,0.841920018196106,10.789264678955078,0.20329999923706055,softmax,1000,relu,categorical_crossentropy,adam,240
200,3.8926467895507812,0.10918000340461731,3.9165239334106445,0.10450000315904617,softmax,1000,relu,categorical_crossentropy,adagrad,120
200,3.662088632583618,0.1521800011396408,3.7066550254821777,0.14710000157356262,softmax,1000,relu,categorical_crossentropy,adagrad,240
200,0.009013340808451176,0.15685999393463135,0.009684931486845016,0.09950000047683716,softmax,1000,sigmoid,mse,adam,120
200,0.008478938601911068,0.216839998960495,0.009653231129050255,0.1289999932050705,softmax,1000,sigmoid,mse,adam,240
200,0.009926563128829002,0.009999999776482582,0.009926563128829002,0.009999999776482582,softmax,1000,sigmoid,mse,adagrad,120
200,0.009928128682076931,0.009999999776482582,0.009928127750754356,0.009999999776482582,softmax,1000,sigmoid,mse,adagrad,240
200,2.826648473739624,0.2758199870586395,3.9873383045196533,0.13779999315738678,softmax,1000,sigmoid,categorical_crossentropy,adam,120
200,2.1045687198638916,0.43832001090049744,4.405910968780518,0.16369999945163727,softmax,1000,sigmoid,categorical_crossentropy,adam,240
200,4.605203628540039,0.009320000186562538,4.605161666870117,0.009200000204145908,softmax,1000,sigmoid,categorical_crossentropy,adagrad,120
200,4.605251789093018,0.008100000210106373,4.605159759521484,0.011699999682605267,softmax,1000,sigmoid,categorical_crossentropy,adagrad,240
200,0.005684572737663984,0.5346800088882446,0.010463210754096508,0.20329999923706055,softmax,2000,relu,mse,adam,120
200,0.0025778585113584995,0.7769200205802917,0.01140129566192627,0.20649999380111694,softmax,2000,relu,mse,adam,240
200,0.009902099147439003,0.01092000026255846,0.009902206249535084,0.010300000198185444,softmax,2000,relu,mse,adagrad,120
200,0.009901195764541626,0.008860000409185886,0.00990111194550991,0.008899999782443047,softmax,2000,relu,mse,adagrad,240
200,1.6025444269180298,0.5750799775123596,4.903113842010498,0.21199999749660492,softmax,2000,relu,categorical_crossentropy,adam,120
200,0.0389232337474823,0.9966400265693665,13.252379417419434,0.210099995136261,softmax,2000,relu,categorical_crossentropy,adam,240
200,4.075362682342529,0.08224000036716461,4.085721969604492,0.0820000022649765,softmax,2000,relu,categorical_crossentropy,adagrad,120
200,3.951880693435669,0.09960000216960907,3.9710898399353027,0.10029999911785126,softmax,2000,relu,categorical_crossentropy,adagrad,240
200,0.009076472371816635,0.1453399956226349,0.009654192253947258,0.0966000035405159,softmax,2000,sigmoid,mse,adam,120
200,0.008706389926373959,0.19054000079631805,0.009625973179936409,0.11670000106096268,softmax,2000,sigmoid,mse,adam,240
200,0.009928543120622635,0.009999999776482582,0.009928544983267784,0.009999999776482582,softmax,2000,sigmoid,mse,adagrad,120
200,0.009934786707162857,0.009999999776482582,0.009934783913195133,0.009999999776482582,softmax,2000,sigmoid,mse,adagrad,240
200,3.153428077697754,0.2045000046491623,4.001472473144531,0.10679999738931656,softmax,2000,sigmoid,categorical_crossentropy,adam,120
200,2.564361810684204,0.331279993057251,4.242704391479492,0.14010000228881836,softmax,2000,sigmoid,categorical_crossentropy,adam,240
200,4.605213642120361,0.01140000019222498,4.605191230773926,0.00989999994635582,softmax,2000,sigmoid,categorical_crossentropy,adagrad,120
200,4.605234622955322,0.009200000204145908,4.605181694030762,0.008500000461935997,softmax,2000,sigmoid,categorical_crossentropy,adagrad,240
200,0.009999999776482582,0.009960000403225422,0.009999998845160007,0.009200000204145908,sigmoid,1000,relu,mse,adam,120
200,0.009999999776482582,0.009680000133812428,0.009999999776482582,0.008799999952316284,sigmoid,1000,relu,mse,adam,240
200,0.010353504680097103,0.009940000250935555,0.010331847704946995,0.010099999606609344,sigmoid,1000,relu,mse,adagrad,120
200,0.010311861522495747,0.009499999694526196,0.010291345417499542,0.010599999688565731,sigmoid,1000,relu,mse,adagrad,240
200,1.2212013006210327,0.6638799905776978,6.4698076248168945,0.19619999825954437,sigmoid,1000,relu,categorical_crossentropy,adam,120
200,0.0743088349699974,0.9785000085830688,16.710195541381836,0.20559999346733093,sigmoid,1000,relu,categorical_crossentropy,adam,240
200,3.844604015350342,0.11479999870061874,3.871156930923462,0.1136000007390976,sigmoid,1000,relu,categorical_crossentropy,adagrad,120
200,3.647420644760132,0.1548600047826767,3.693190574645996,0.15080000460147858,sigmoid,1000,relu,categorical_crossentropy,adagrad,240
200,0.009901082143187523,0.009119999594986439,0.009900803677737713,0.009999999776482582,sigmoid,1000,sigmoid,mse,adam,120
200,0.009901599958539009,0.009479999542236328,0.009901394136250019,0.009999999776482582,sigmoid,1000,sigmoid,mse,adam,240
200,0.037891682237386703,0.009999999776482582,0.0377911739051342,0.009999999776482582,sigmoid,1000,sigmoid,mse,adagrad,120
200,0.022659536451101303,0.009999999776482582,0.022612351924180984,0.009999999776482582,sigmoid,1000,sigmoid,mse,adagrad,240
200,2.909769296646118,0.2573600113391876,3.9994592666625977,0.13729999959468842,sigmoid,1000,sigmoid,categorical_crossentropy,adam,120
200,2.11397647857666,0.4364199936389923,4.488266468048096,0.15479999780654907,sigmoid,1000,sigmoid,categorical_crossentropy,adam,240
200,4.605203628540039,0.009279999881982803,4.605160713195801,0.00839999970048666,sigmoid,1000,sigmoid,categorical_crossentropy,adagrad,120
200,4.605247497558594,0.00930000003427267,4.605161190032959,0.012600000016391277,sigmoid,1000,sigmoid,categorical_crossentropy,adagrad,240
200,0.009999791160225868,0.010200000368058681,0.010000167414546013,0.009999999776482582,sigmoid,2000,relu,mse,adam,120
200,0.00999996718019247,0.009859999641776085,0.01000003982335329,0.009999999776482582,sigmoid,2000,relu,mse,adam,240
200,0.011019979603588581,0.008999999612569809,0.010979768820106983,0.009700000286102295,sigmoid,2000,relu,mse,adagrad,120
200,0.010734857991337776,0.009220000356435776,0.010700360871851444,0.010200000368058681,sigmoid,2000,relu,mse,adagrad,240
200,1.635896921157837,0.5705000162124634,4.785510063171387,0.2125999927520752,sigmoid,2000,relu,categorical_crossentropy,adam,120
200,0.04354523494839668,0.9953200221061707,14.819612503051758,0.20239999890327454,sigmoid,2000,relu,categorical_crossentropy,adam,240
200,4.1407904624938965,0.06960000097751617,4.149982452392578,0.0649000033736229,sigmoid,2000,relu,categorical_crossentropy,adagrad,120
200,3.937413454055786,0.10458000004291534,3.955582857131958,0.10249999910593033,sigmoid,2000,relu,categorical_crossentropy,adagrad,240
200,0.009900061413645744,0.008919999934732914,0.009900003671646118,0.009999999776482582,sigmoid,2000,sigmoid,mse,adam,120
200,0.009900164790451527,0.009159999899566174,0.009900018572807312,0.009999999776482582,sigmoid,2000,sigmoid,mse,adam,240
200,0.08445360511541367,0.009999999776482582,0.08423501253128052,0.009999999776482582,sigmoid,2000,sigmoid,mse,adagrad,120
200,0.04195056110620499,0.009999999776482582,0.041837602853775024,0.009999999776482582,sigmoid,2000,sigmoid,mse,adagrad,240
200,3.186335563659668,0.20000000298023224,3.99601674079895,0.11270000040531158,sigmoid,2000,sigmoid,categorical_crossentropy,adam,120
200,2.5324180126190186,0.34251999855041504,4.319500923156738,0.13429999351501465,sigmoid,2000,sigmoid,categorical_crossentropy,adam,240
200,4.605201721191406,0.009999999776482582,4.605179786682129,0.009999999776482582,sigmoid,2000,sigmoid,categorical_crossentropy,adagrad,120
200,4.6052117347717285,0.009019999764859676,4.605160713195801,0.007899999618530273,sigmoid,2000,sigmoid,categorical_crossentropy,adagrad,240
